timestamp,equity,cash
2022-01-03T14:30:00.0000000+00:00,10000,10000
2022-01-03T14:35:00.0000000+00:00,10000,10000
2022-01-03T14:40:00.0000000+00:00,10000,10000
2022-01-03T14:45:00.0000000+00:00,10000,10000
2022-01-03T14:50:00.0000000+00:00,10000,10000
2022-01-03T14:55:00.0000000+00:00,10000,10000
2022-01-03T15:00:00.0000000+00:00,10000,10000
2022-01-03T15:05:00.0000000+00:00,10000,10000
2022-01-03T15:10:00.0000000+00:00,10000,10000
2022-01-03T15:15:00.0000000+00:00,10000,10000
2022-01-03T15:20:00.0000000+00:00,10000,10000
2022-01-03T15:25:00.0000000+00:00,10000,10000
2022-01-03T15:30:00.0000000+00:00,10000,10000
2022-01-03T15:35:00.0000000+00:00,10000,10000
2022-01-03T15:40:00.0000000+00:00,10000,10000
2022-01-03T15:45:00.0000000+00:00,10000,10000
2022-01-03T15:50:00.0000000+00:00,10000,10000
2022-01-03T15:55:00.0000000+00:00,10000,10000
2022-01-03T16:00:00.0000000+00:00,10000,10000
2022-01-03T16:05:00.0000000+00:00,10000,10000
2022-01-03T16:10:00.0000000+00:00,10000,10000
2022-01-03T16:15:00.0000000+00:00,10000,10000
2022-01-03T16:20:00.0000000+00:00,10000,10000
2022-01-03T16:25:00.0000000+00:00,10000,10000
2022-01-03T16:30:00.0000000+00:00,10000,10000
2022-01-03T16:35:00.0000000+00:00,10000,10000
2022-01-03T16:40:00.0000000+00:00,10000,10000
2022-01-03T16:45:00.0000000+00:00,10000,10000
2022-01-03T16:50:00.0000000+00:00,10000,10000
2022-01-03T16:55:00.0000000+00:00,10000,10000
2022-01-03T17:00:00.0000000+00:00,10000,10000
2022-01-03T17:05:00.0000000+00:00,10000,10000
2022-01-03T17:10:00.0000000+00:00,10000,10000
2022-01-03T17:15:00.0000000+00:00,10000,10000
2022-01-03T17:20:00.0000000+00:00,10000,10000
2022-01-03T17:25:00.0000000+00:00,10000,10000
2022-01-03T17:30:00.0000000+00:00,10000,10000
2022-01-03T17:35:00.0000000+00:00,10000,10000
2022-01-03T17:40:00.0000000+00:00,10000,10000
2022-01-03T17:45:00.0000000+00:00,10000,10000
2022-01-03T17:50:00.0000000+00:00,10000,10000
2022-01-03T17:55:00.0000000+00:00,10000,10000
2022-01-03T18:00:00.0000000+00:00,10000,10000
2022-01-03T18:05:00.0000000+00:00,10000,10000
2022-01-03T18:10:00.0000000+00:00,10000,10000
2022-01-03T18:15:00.0000000+00:00,10000,10000
2022-01-03T18:20:00.0000000+00:00,10000,10000
2022-01-03T18:25:00.0000000+00:00,10000,10000
2022-01-03T18:30:00.0000000+00:00,10000,10000
