opened_at,closed_at,symbol,side,avg_entry,exit_price,quantity,tranches,gross_pnl,commission,net_pnl,exit_reason
2025-09-11T14:35:00.0000000+00:00,2025-09-11T15:20:00.0000000+00:00,SPY_iex,Long,651.41946153846153846153846154,651.78008974358974358974358974,195,2,70.32249999999999999999999930,0,70.32249999999999999999999930,"Stop-loss hit"
2025-09-16T14:30:00.0000000+00:00,2025-09-16T17:20:00.0000000+00:00,SPY_iex,Short,654.325,654.83,195,1,-98.475,0,-98.475,"Stop-loss hit"
2025-09-23T14:35:00.0000000+00:00,2025-09-23T14:55:00.0000000+00:00,SPY_iex,Short,662.555,662.90,290,1,-100.050,0,-100.050,"Stop-loss hit"
2025-09-26T14:40:00.0000000+00:00,2025-09-26T15:15:00.0000000+00:00,SPY_iex,Long,655.715,654.39,70,1,-92.750,0,-92.750,"Stop-loss hit"
2025-09-29T14:25:00.0000000+00:00,2025-09-29T15:10:00.0000000+00:00,SPY_iex,Long,661.115,660.21,103,1,-93.215,0,-93.215,"Stop-loss hit"
2025-09-30T14:10:00.0000000+00:00,2025-09-30T14:15:00.0000000+00:00,SPY_iex,Short,658.655,659.53,106,1,-92.750,0,-92.750,"Stop-loss hit"
2025-10-03T14:40:00.0000000+00:00,2025-10-03T15:10:00.0000000+00:00,SPY_iex,Long,668.235,667.77,202,1,-93.930,0,-93.930,"Stop-loss hit"
2025-10-07T14:05:00.0000000+00:00,2025-10-07T14:10:00.0000000+00:00,SPY_iex,Short,667.985,668.50,180,1,-92.700,0,-92.700,"Stop-loss hit"
2025-10-08T14:30:00.0000000+00:00,2025-10-08T14:50:00.0000000+00:00,SPY_iex,Long,668.065,667.67,236,1,-93.220,0,-93.220,"Stop-loss hit"
2025-10-09T14:30:00.0000000+00:00,2025-10-09T14:40:00.0000000+00:00,SPY_iex,Short,667.09085585585585585585585586,666.95522522522522522522522523,444,2,60.21999999999999999999999788,0,60.21999999999999999999999788,"Stop-loss hit"
2025-10-13T14:35:00.0000000+00:00,2025-10-13T14:55:00.0000000+00:00,SPY_iex,Long,657.835,656.47,64,1,-87.360,0,-87.360,"Stop-loss hit"
2025-10-15T14:10:00.0000000+00:00,2025-10-15T14:40:00.0000000+00:00,SPY_iex,Long,666.215,665.13,81,1,-87.885,0,-87.885,"Stop-loss hit"
2025-10-24T14:45:00.0000000+00:00,2025-10-24T14:50:00.0000000+00:00,SPY_iex,Long,673.775,673.33,203,1,-90.335,0,-90.335,"Stop-loss hit"
2025-10-27T14:30:00.0000000+00:00,2025-10-27T14:50:00.0000000+00:00,SPY_iex,Long,679.175,678.69,183,1,-88.755,0,-88.755,"Stop-loss hit"
2025-11-05T14:55:00.0000000+00:00,2025-11-05T16:35:00.0000000+00:00,SPY_iex,Long,673.90724299065420560747663551,674.50287383177570093457943925,107,2,63.73249999999999999999999975,0,63.73249999999999999999999975,"Stop-loss hit"
2025-11-06T15:00:00.0000000+00:00,2025-11-06T15:20:00.0000000+00:00,SPY_iex,Short,670.255,671.38,76,1,-85.500,0,-85.500,"Stop-loss hit"
2025-11-11T15:25:00.0000000+00:00,2025-11-11T15:30:00.0000000+00:00,SPY_iex,Long,675.695,674.96,117,1,-85.995,0,-85.995,"Stop-loss hit"
2025-11-12T15:15:00.0000000+00:00,2025-11-12T16:15:00.0000000+00:00,SPY_iex,Short,678.56919354838709677419354839,678.0635483870967741935483871,124,2,62.6999999999999999999999996,0,62.6999999999999999999999996,"Stop-loss hit"
2025-11-17T15:15:00.0000000+00:00,2025-11-17T15:20:00.0000000+00:00,SPY_iex,Long,668.135,666.99,74,1,-84.730,0,-84.730,"Stop-loss hit"
2025-11-18T15:00:00.0000000+00:00,2025-11-18T15:20:00.0000000+00:00,SPY_iex,Short,654.895,656.08,70,1,-82.950,0,-82.950,"Stop-loss hit"
2025-11-19T14:55:00.0000000+00:00,2025-11-19T15:20:00.0000000+00:00,SPY_iex,Long,661.54331325301204819277108434,662.30394578313253012048192771,83,2,63.13249999999999999999999993,0,63.13249999999999999999999993,"Stop-loss hit"
2025-11-20T15:00:00.0000000+00:00,2025-11-20T15:05:00.0000000+00:00,SPY_iex,Long,671.185,670.27,92,1,-84.180,0,-84.180,"Stop-loss hit"
2025-11-28T15:35:00.0000000+00:00,2025-11-28T16:20:00.0000000+00:00,SPY_iex,Long,678.60349056603773584905660377,678.88912735849056603773584906,212,2,60.55500000000000000000000072,0,60.55500000000000000000000072,"Stop-loss hit"
2025-12-02T15:30:00.0000000+00:00,2025-12-02T15:45:00.0000000+00:00,SPY_iex,Short,677.585,679.35,46,1,-81.190,0,-81.190,"Stop-loss hit"
2025-12-03T15:35:00.0000000+00:00,2025-12-03T17:50:00.0000000+00:00,SPY_iex,Long,679.1334745762711864406779661,679.65411016949152542372881356,118,2,61.43500000000000000000000008,0,61.43500000000000000000000008,"Stop-loss hit"
2025-12-08T15:25:00.0000000+00:00,2025-12-08T15:45:00.0000000+00:00,SPY_iex,Short,680.57956747404844290657439446,680.37393598615916955017301038,289,2,59.42750000000000000000000018,0,59.42750000000000000000000018,"Stop-loss hit"
2025-12-09T15:45:00.0000000+00:00,2025-12-09T15:50:00.0000000+00:00,SPY_iex,Long,680.595,679.98,139,1,-85.485,0,-85.485,"Stop-loss hit"
2025-12-10T15:10:00.0000000+00:00,2025-12-10T15:15:00.0000000+00:00,SPY_iex,Long,679.485,678.98,169,1,-85.345,0,-85.345,"Stop-loss hit"
2025-12-11T14:55:00.0000000+00:00,2025-12-11T15:05:00.0000000+00:00,SPY_iex,Short,678.755,679.91,71,1,-82.005,0,-82.005,"Stop-loss hit"
2025-12-12T15:00:00.0000000+00:00,2025-12-22T14:30:00.0000000+00:00,SPY_iex,Short,682.42040298507462686567164179,682.17926119402985074626865672,335,3,80.78249999999999999999999880,0,80.78249999999999999999999880,"Stop-loss hit"
2025-12-22T15:20:00.0000000+00:00,2025-12-22T15:35:00.0000000+00:00,SPY_iex,Long,681.685,681.05,131,1,-83.185,0,-83.185,"Stop-loss hit"
2025-12-24T15:10:00.0000000+00:00,2025-12-29T14:30:00.0000000+00:00,SPY_iex,Long,687.27735213204951856946354883,687.37849037138927097661623109,727,3,73.52750000000000000000000243,0,73.52750000000000000000000243,"Stop-loss hit"
2025-12-29T15:10:00.0000000+00:00,2025-12-29T15:15:00.0000000+00:00,SPY_iex,Short,685.165,685.70,157,1,-83.995,0,-83.995,"Stop-loss hit"
2025-12-31T15:00:00.0000000+00:00,2025-12-31T15:20:00.0000000+00:00,SPY_iex,Short,683.67168246445497630331753555,683.39105450236966824644549763,211,2,59.21250000000000000000000007,0,59.21250000000000000000000007,"Stop-loss hit"
2026-01-02T15:35:00.0000000+00:00,2026-01-02T15:50:00.0000000+00:00,SPY_iex,Long,681.675,680.30,59,1,-81.125,0,-81.125,"Stop-loss hit"
2026-01-06T14:55:00.0000000+00:00,2026-01-06T15:15:00.0000000+00:00,SPY_iex,Long,688.2228504672897196261682243,688.49848130841121495327102804,214,2,58.98500000000000000000000056,0,58.98500000000000000000000056,"Stop-loss hit"
2026-01-08T16:00:00.0000000+00:00,2026-01-08T16:35:00.0000000+00:00,SPY_iex,Long,687.965,686.60,59,1,-80.535,0,-80.535,"Stop-loss hit"
2026-01-09T15:45:00.0000000+00:00,2026-01-09T16:05:00.0000000+00:00,SPY_iex,Short,689.725,690.96,65,1,-80.275,0,-80.275,"Stop-loss hit"
2026-01-13T14:55:00.0000000+00:00,2026-01-13T15:35:00.0000000+00:00,SPY_iex,Short,691.93760869565217391304347826,691.57197204968944099378881988,161,2,58.86749999999999999999999932,0,58.86749999999999999999999932,"Stop-loss hit"
2026-01-21T14:55:00.0000000+00:00,2026-01-21T15:20:00.0000000+00:00,SPY_iex,Long,680.24912903225806451612903226,680.63475806451612903225806452,155,2,59.77250000000000000000000060,0,59.77250000000000000000000060,"Stop-loss hit"
2026-01-22T15:25:00.0000000+00:00,2026-01-22T15:30:00.0000000+00:00,SPY_iex,Short,685.525,686.62,74,1,-81.030,0,-81.030,"Stop-loss hit"
2026-01-23T15:25:00.0000000+00:00,2026-01-23T17:50:00.0000000+00:00,SPY_iex,Long,687.825,686.39,55,1,-78.925,0,-78.925,"Stop-loss hit"
2026-01-26T15:15:00.0000000+00:00,2026-01-26T18:40:00.0000000+00:00,SPY_iex,Long,691.17193430656934306569343066,691.60257299270072992700729927,137,2,58.99749999999999999999999999,0,58.99749999999999999999999999,"Stop-loss hit"
2026-01-27T14:55:00.0000000+00:00,2026-01-27T16:25:00.0000000+00:00,SPY_iex,Long,693.83093103448275862068965517,694.24156896551724137931034483,145,2,59.54250000000000000000000035,0,59.54250000000000000000000035,"Stop-loss hit"
2026-02-03T15:20:00.0000000+00:00,2026-02-03T15:50:00.0000000+00:00,SPY_iex,Short,689.735,691.11,58,1,-79.750,0,-79.750,"Stop-loss hit"
