opened_at,closed_at,symbol,side,avg_entry,exit_price,quantity,tranches,gross_pnl,commission,net_pnl,exit_reason
2025-08-27T13:55:00.0000000+00:00,2025-08-27T15:40:00.0000000+00:00,QQQ_iex,Long,570.01593023255813953488372093,570.45656976744186046511627907,172,2,75.79000000000000000000000004,0,75.79000000000000000000000004,"Stop-loss hit"
2025-08-29T14:25:00.0000000+00:00,2025-08-29T14:45:00.0000000+00:00,QQQ_iex,Long,568.845,568.04,128,1,-103.040,0,-103.040,"Stop-loss hit"
2025-09-02T14:00:00.0000000+00:00,2025-09-02T14:25:00.0000000+00:00,QQQ_iex,Short,562.265,563.13,118,1,-102.070,0,-102.070,"Stop-loss hit"
2025-09-04T14:25:00.0000000+00:00,2025-09-04T14:40:00.0000000+00:00,QQQ_iex,Long,568.95489010989010989010989011,569.36552197802197802197802198,182,2,74.73500000000000000000000036,0,74.73500000000000000000000036,"Stop-loss hit"
2025-09-05T14:55:00.0000000+00:00,2025-09-05T15:00:00.0000000+00:00,QQQ_iex,Long,572.525,570.82,59,1,-100.595,0,-100.595,"Stop-loss hit"
2025-09-08T14:00:00.0000000+00:00,2025-09-08T14:30:00.0000000+00:00,QQQ_iex,Short,577.705,578.44,138,1,-101.430,0,-101.430,"Stop-loss hit"
2025-09-09T14:10:00.0000000+00:00,2025-09-09T14:30:00.0000000+00:00,QQQ_iex,Long,577.475,576.43,95,1,-99.275,0,-99.275,"Stop-loss hit"
2025-09-11T14:55:00.0000000+00:00,2025-09-11T15:00:00.0000000+00:00,QQQ_iex,Short,581.075,581.87,124,1,-98.580,0,-98.580,"Stop-loss hit"
2025-09-15T14:35:00.0000000+00:00,2025-09-15T14:45:00.0000000+00:00,QQQ_iex,Short,587.765,588.20,232,1,-100.920,0,-100.920,"Stop-loss hit"
2025-09-16T14:15:00.0000000+00:00,2025-09-16T14:35:00.0000000+00:00,QQQ_iex,Long,589.595,589.12,209,1,-99.275,0,-99.275,"Stop-loss hit"
2025-09-24T14:00:00.0000000+00:00,2025-09-24T14:30:00.0000000+00:00,QQQ_iex,Long,596.595,596.03,172,1,-97.180,0,-97.180,"Stop-loss hit"
2025-09-26T14:40:00.0000000+00:00,2025-09-26T17:55:00.0000000+00:00,QQQ_iex,Long,592.38875,593.199375,88,2,71.335000,0,71.335000,"Stop-loss hit"
2025-09-30T14:00:00.0000000+00:00,2025-09-30T19:40:00.0000000+00:00,QQQ_iex,Long,596.79561855670103092783505155,597.52626288659793814432989691,97,2,70.87250000000000000000000027,0,70.87250000000000000000000027,"Stop-loss hit"
2025-10-01T13:55:00.0000000+00:00,2025-10-10T15:30:00.0000000+00:00,QQQ_iex,Long,597.07970588235294117647058824,597.66085294117647058823529412,170,3,98.79500000000000000000000040,0,98.79500000000000000000000040,"Stop-loss hit"
2025-10-13T14:45:00.0000000+00:00,2025-10-13T15:00:00.0000000+00:00,QQQ_iex,Short,597.5982743362831858407079646,596.95263274336283185840707965,113,2,72.95749999999999999999999955,0,72.95749999999999999999999955,"Stop-loss hit"
2025-10-21T14:15:00.0000000+00:00,2025-10-21T14:25:00.0000000+00:00,QQQ_iex,Long,608.945,608.20,132,1,-98.340,0,-98.340,"Stop-loss hit"
2025-10-22T14:00:00.0000000+00:00,2025-10-22T14:55:00.0000000+00:00,QQQ_iex,Short,606.96429328621908127208480565,606.61815371024734982332155477,283,3,97.95750000000000000000000009,0,97.95750000000000000000000009,"Stop-loss hit"
2025-10-24T14:50:00.0000000+00:00,2025-10-24T15:05:00.0000000+00:00,QQQ_iex,Short,615.080,614.819375,272,2,70.890000,0,70.890000,"Stop-loss hit"
2025-10-27T14:20:00.0000000+00:00,2025-10-27T14:25:00.0000000+00:00,QQQ_iex,Short,623.485,624.06,174,1,-100.050,0,-100.050,"Stop-loss hit"
2025-10-29T14:05:00.0000000+00:00,2025-10-29T16:20:00.0000000+00:00,QQQ_iex,Short,633.750,633.294375,160,2,72.900000,0,72.900000,"Stop-loss hit"
2025-11-06T15:10:00.0000000+00:00,2025-11-06T15:15:00.0000000+00:00,QQQ_iex,Long,615.385,613.96,68,1,-96.900,0,-96.900,"Stop-loss hit"
2025-11-10T15:55:00.0000000+00:00,2025-11-10T17:40:00.0000000+00:00,QQQ_iex,Short,617.425,618.89,65,1,-95.225,0,-95.225,"Stop-loss hit"
2025-11-17T15:00:00.0000000+00:00,2025-11-17T15:10:00.0000000+00:00,QQQ_iex,Short,608.45375,607.753125,104,2,72.865000,0,72.865000,"Stop-loss hit"
2025-11-19T15:35:00.0000000+00:00,2025-11-20T14:30:00.0000000+00:00,QQQ_iex,Short,601.69136363636363636363636364,601.18522727272727272727272727,198,3,100.21500000000000000000000054,0,100.21500000000000000000000054,"Stop-loss hit"
2025-11-20T15:10:00.0000000+00:00,2025-11-20T15:30:00.0000000+00:00,QQQ_iex,Short,609.585,611.76,44,1,-95.700,0,-95.700,"Stop-loss hit"
2025-11-21T15:00:00.0000000+00:00,2025-11-21T15:45:00.0000000+00:00,QQQ_iex,Short,583.85059322033898305084745763,582.61495762711864406779661017,59,2,72.90249999999999999999999997,0,72.90249999999999999999999997,"Stop-loss hit"
2025-11-25T14:55:00.0000000+00:00,2025-12-17T15:45:00.0000000+00:00,QQQ_iex,Long,602.47923728813559322033898305,604.19038135593220338983050847,59,3,100.95749999999999999999999973,0,100.95749999999999999999999973,"Stop-loss hit"
2025-12-22T15:45:00.0000000+00:00,2025-12-22T18:05:00.0000000+00:00,QQQ_iex,Long,618.56605555555555555555555556,618.97169444444444444444444444,180,2,73.01499999999999999999999920,0,73.01499999999999999999999920,"Stop-loss hit"
2025-12-24T15:25:00.0000000+00:00,2025-12-24T16:05:00.0000000+00:00,QQQ_iex,Short,621.475,622.14,151,1,-100.415,0,-100.415,"Stop-loss hit"
2025-12-30T15:05:00.0000000+00:00,2025-12-30T15:15:00.0000000+00:00,QQQ_iex,Short,619.70631868131868131868131868,619.44568681318681318681318681,273,2,71.15250000000000000000000087,0,71.15250000000000000000000087,"Stop-loss hit"
2026-01-02T15:10:00.0000000+00:00,2026-01-02T15:40:00.0000000+00:00,QQQ_iex,Short,617.40565727699530516431924883,616.92951877934272300469483568,213,3,101.41750000000000000000000016,0,101.41750000000000000000000016,"Stop-loss hit"
2026-01-05T15:40:00.0000000+00:00,2026-01-05T16:05:00.0000000+00:00,QQQ_iex,Short,618.665,619.56,112,1,-100.240,0,-100.240,"Stop-loss hit"
2026-01-06T15:35:00.0000000+00:00,2026-01-06T15:45:00.0000000+00:00,QQQ_iex,Short,620.89401818181818181818181818,620.63339090909090909090909091,275,2,71.67249999999999999999999975,0,71.67249999999999999999999975,"Stop-loss hit"
2026-01-08T15:10:00.0000000+00:00,2026-01-08T16:35:00.0000000+00:00,QQQ_iex,Long,619.715,617.82,52,1,-98.540,0,-98.540,"Stop-loss hit"
2026-01-09T15:15:00.0000000+00:00,2026-01-09T15:30:00.0000000+00:00,QQQ_iex,Long,622.41425373134328358208955224,623.52988805970149253731343284,67,2,74.74750000000000000000000028,0,74.74750000000000000000000028,"Stop-loss hit"
2026-01-13T15:55:00.0000000+00:00,2026-01-13T17:15:00.0000000+00:00,QQQ_iex,Long,625.69477528089887640449438202,626.53542134831460674157303371,89,2,74.81750000000000000000000019,0,74.81750000000000000000000019,"Stop-loss hit"
2026-01-14T15:10:00.0000000+00:00,2026-01-14T15:25:00.0000000+00:00,QQQ_iex,Long,618.51885542168674698795180723,618.9694879518072289156626506,166,2,74.8049999999999999999999996,0,74.8049999999999999999999996,"Stop-loss hit"
2026-01-15T16:00:00.0000000+00:00,2026-01-15T19:25:00.0000000+00:00,QQQ_iex,Long,624.995,623.09,52,1,-99.060,0,-99.060,"Stop-loss hit"
2026-01-26T15:10:00.0000000+00:00,2026-01-26T15:15:00.0000000+00:00,QQQ_iex,Short,624.145,624.76,165,1,-101.475,0,-101.475,"Stop-loss hit"
2026-01-29T15:20:00.0000000+00:00,2026-01-29T15:30:00.0000000+00:00,QQQ_iex,Long,623.495,622.03,67,1,-98.155,0,-98.155,"Stop-loss hit"
2026-01-30T15:10:00.0000000+00:00,2026-01-30T15:25:00.0000000+00:00,QQQ_iex,Long,626.455,624.41,47,1,-96.115,0,-96.115,"Stop-loss hit"
2026-02-04T15:10:00.0000000+00:00,2026-02-04T15:35:00.0000000+00:00,QQQ_iex,Long,610.995,608.61,40,1,-95.400,0,-95.400,"Stop-loss hit"
2026-02-05T15:20:00.0000000+00:00,2026-02-05T15:30:00.0000000+00:00,QQQ_iex,Long,596.555,594.24,40,1,-92.600,0,-92.600,"Stop-loss hit"
2026-02-11T15:35:00.0000000+00:00,2026-02-11T16:00:00.0000000+00:00,QQQ_iex,Long,609.8783,610.58895,100,2,71.06500,0,71.06500,"Stop-loss hit"
2026-02-13T15:15:00.0000000+00:00,2026-02-13T15:25:00.0000000+00:00,QQQ_iex,Short,599.975,601.73,54,1,-94.770,0,-94.770,"Stop-loss hit"
