opened_at,closed_at,symbol,side,avg_entry,exit_price,quantity,tranches,gross_pnl,commission,net_pnl,exit_reason
2025-06-17T14:50:00.0000000+00:00,2025-06-17T14:55:00.0000000+00:00,QQQ_iex,Long,530.105,529.58,194,1,-101.850,0,-101.850,"Stop-loss hit"
2025-06-20T14:25:00.0000000+00:00,2025-06-20T14:55:00.0000000+00:00,QQQ_iex,Short,524.9418,523.96116666666666666666666667,75,2,73.54749999999999999999999975,0,73.54749999999999999999999975,"Stop-loss hit"
2025-06-23T14:15:00.0000000+00:00,2025-06-23T14:55:00.0000000+00:00,QQQ_iex,Long,527.825,527.01,122,1,-99.430,0,-99.430,"Stop-loss hit"
2025-06-27T14:05:00.0000000+00:00,2025-06-27T14:30:00.0000000+00:00,QQQ_iex,Long,547.385,546.71,147,1,-99.225,0,-99.225,"Stop-loss hit"
2025-07-01T14:15:00.0000000+00:00,2025-07-01T14:20:00.0000000+00:00,QQQ_iex,Long,548.335,547.40,104,1,-97.240,0,-97.240,"Stop-loss hit"
2025-07-10T13:55:00.0000000+00:00,2025-07-10T14:10:00.0000000+00:00,QQQ_iex,Short,552.070,551.714375,200,2,71.125000,0,71.125000,"Stop-loss hit"
2025-07-11T14:15:00.0000000+00:00,2025-07-11T15:10:00.0000000+00:00,QQQ_iex,Long,552.765,551.92,115,1,-97.175,0,-97.175,"Stop-loss hit"
2025-07-16T13:55:00.0000000+00:00,2025-07-16T14:10:00.0000000+00:00,QQQ_iex,Short,552.665,553.43,126,1,-96.390,0,-96.390,"Stop-loss hit"
2025-07-25T14:10:00.0000000+00:00,2025-07-25T17:20:00.0000000+00:00,QQQ_iex,Long,564.41285028790786948176583493,564.58898752399232245681381958,521,3,91.76750000000000000000000118,0,91.76750000000000000000000118,"Stop-loss hit"
2025-07-28T14:00:00.0000000+00:00,2025-07-28T14:20:00.0000000+00:00,QQQ_iex,Long,566.785,566.31,207,1,-98.325,0,-98.325,"Stop-loss hit"
2025-08-05T15:00:00.0000000+00:00,2025-08-05T15:15:00.0000000+00:00,QQQ_iex,Long,559.64455947136563876651982379,559.95018722466960352422907489,227,2,69.37750000000000000000000003,0,69.37750000000000000000000003,"Stop-loss hit"
2025-08-06T14:05:00.0000000+00:00,2025-08-06T14:20:00.0000000+00:00,QQQ_iex,Long,561.365,559.83,61,1,-93.635,0,-93.635,"Stop-loss hit"
2025-08-08T14:10:00.0000000+00:00,2025-08-08T14:15:00.0000000+00:00,QQQ_iex,Long,571.305,570.74,170,1,-96.050,0,-96.050,"Stop-loss hit"
